title,year,director,genre,producer,country,actors,length,budget
Амели,2001,Жан-Пьер Жене,"кинокомедия,романтический фильм",Клод Оссар,Франция,"Одри Тоту,Матьё Кассовиц,Артюс де Пенгерн",122 мин,77 млн (
Головокружение,1958,Альфред Хичкок,"фильм-тайна,романтический фильм,триллер",Альфред Хичкок,США,"Джеймс Стюарт,Ким Новак",128 мин,2 479 000 $
Квартира,1960,Билли Уайлдер,"кинокомедия,драма,романтический фильм",Билли Уайлдер,,"Джек Леммон,Ширли Маклейн",125 мин.,3 млн 
К северу через северо-запад,1959,Альфред Хичкок,"боевик,приключение,фильм-тайна",,США,"Кэри Грант,Эва Мари Сейнт",136 мин,4 млн 
Жить,1952,Акира Куросава,драма,,,Такаси Симура,140 мин.,
Заводной апельсин,1971,Стэнли Кубрик,"детектив,научная фантастика",,,"Малкольм Макдауэлл,Патрик Мэги",136 мин.,"2,2 млн "
Вечное сияние чистого разума,2004,Мишель Гондри,"драма,романтический фильм,научная фантастика",,США,"Джим Керри,Кейт Уинслет,Кирстен Данст,Марк Руффало,Элайджа Вуд,Том Уилкинсон",108 мин.,20 млн 
М,1931,Фриц Ланг,"детектив,фильм-тайна,триллер",,Веймарская республика,"Петер Лорре,Отто Вернике,Густаф Грюндгенс",118 мин.,
Гражданин Кейн,1941,Орсон Уэллс,"драма,фильм-тайна",Орсон Уэллс,,,119 мин,839 727 
Лоуренс Аравийский,1962,Дэвид Лин,"приключение,байопик,драма",,,"Питер О’Тул,Омар Шариф,Алек Гиннесс",222 мин.,15 млн. 
Бешеные псы,1992,Квентин Тарантино,"детектив,триллер",,,"Харви Кейтель,Тим Рот,Крис Пенн,Стив Бушеми,Лоуренс Тирни,Майкл Мэдсен",99 мин,"$1,2–3 млн"
Охота,2012,Томас Винтерберг,драма,"Мортен Кауфманн,Сиссе Граум Йоргенсен,Томас Винтерберг",,Мадс Миккельсен,115 минут,"3,45 млн"
Иди и смотри,1985,Элем Климов,"драма,триллер,военный фильм",,,"Алексей Кравченко,Ольга Миронова,Любомирас Лауцявичюс",145 мин.,
Космическая одиссея 2001 года,1968,Стэнли Кубрик,"приключение,научная фантастика",,,"Кир Дулли,Гари Локвуд,Уильям Сильвестер",,12 млн 
Капернаум,2018,Надин Лабаки,драма,"Мишель Меркт,Халед Музанар",,Зайн Эр-Рафъи,123 мин,4 млн 
Реквием по мечте,2000,Даррен Аронофски,драма,"Эрик Уотсон,Палмер Уэст",США,"Эллен Бёрстин,Джаред Лето,Дженнифер Коннелли,Марлон Уайанс",97 мин,4 500 000 
Рай и ад,1963,Акира Куросава,"детектив,драма,фильм-тайна",,,"Тосиро Мифунэ,Тацуя Накадай,Кёко Кагава,Тацуя Михаси",142 мин.,230 000 000 ¥
Поющие под дождём,1952,Стэнли Донен,"кинокомедия,мюзикл,романтический фильм",,,"Дональд О’Коннор,Дебби Рейнольдс,Сид Чарисс,Джин Хэген",103 мин,"2,5 млн "
3 идиота,2009,Раджкумар Хирани,"кинокомедия,драма",Видху Винод Чопра,Индия,"Аамир Хан,Мадхаван,Шарман Джоши,Карина Капур",170 мин.,350 млн 
